id_tweet_original,pregunta,id_respuesta,text,retweets,likes,personaje
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519533213642862592,@martintetaz Delincuente,0,0,Cristina Kirchner
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519533160157040642,@martintetaz Decepcion,0,0,Mauricio Macri
1519470025769463809,Definan a Facundo Manes con una sola palabra,1519533211264638978,@martintetaz Humo,0,0,Facundo Manes
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519531462428663808,@martintetaz Inútil,0,0,Mauricio Macri
1519469962171195394,Definan a Patricia Bullrich con una sola palabra,1519520518252204033,"@martintetaz Victima (espero que no).. como fue Petri , Enriquez , De Lamadrid y otros tantos políticos que pusieron el pecho y le pagaron con una puñalada.",1,1,Patricia Bullrich
1519469897260146688,Definan a Horacio Rodriguez Larreta con una sola palabra,1519533210522247168,@martintetaz Peronista https://t.co/KnUufNQ23F,0,0,Horacio Rodriguez Larreta
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519512379360436225,@martintetaz Corrupta,0,1,Cristina Kirchner
1519470266539290624,Definan a Alberto Fernandez con una sola palabra,1519533184152653824,@martintetaz Inimputable,0,0,Alberto Fernandez
1519470025769463809,Definan a Facundo Manes con una sola palabra,1519532715476934658,@martintetaz Quién?,0,0,Facundo Manes
1519470331609636864,Definan a Sergio Massa con una sola palabra,1519533177257312258,@martintetaz Canelón,0,0,Sergio Massa
1519470199141023744,Definan a Javier Milei con una sola palabra,1519533167606001664,@martintetaz La gente decidirá espero q esta vez bien!!,0,0,Javier Milei
1519470331609636864,Definan a Sergio Massa con una sola palabra,1519533159733358592,@martintetaz Delincuente,0,0,Sergio Massa
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519530965273436161,@martintetaz Esperanza,0,0,Mauricio Macri
1519470199141023744,Definan a Javier Milei con una sola palabra,1519524226998235136,@martintetaz Loco,0,0,Javier Milei
1519470331609636864,Definan a Sergio Massa con una sola palabra,1519533145745371136,@martintetaz Panqueque,0,0,Sergio Massa
1519470199141023744,Definan a Javier Milei con una sola palabra,1519533144625491968,@martintetaz Psicótico,0,0,Javier Milei
1519469897260146688,Definan a Horacio Rodriguez Larreta con una sola palabra,1519509145451319296,@martintetaz Quien?,0,0,Horacio Rodriguez Larreta
1519470331609636864,Definan a Sergio Massa con una sola palabra,1519533131123945472,@martintetaz Panquequehdp,0,0,Sergio Massa
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519509209913565184,@martintetaz Delincuente,0,0,Cristina Kirchner
1519470025769463809,Definan a Facundo Manes con una sola palabra,1519508710233571329,@martintetaz Jumó,0,0,Facundo Manes
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519533123616313344,@martintetaz Chorra,0,0,Cristina Kirchner
1519469897260146688,Definan a Horacio Rodriguez Larreta con una sola palabra,1519533123423268865,@martintetaz Traicionero,0,0,Horacio Rodriguez Larreta
1519469962171195394,Definan a Patricia Bullrich con una sola palabra,1519532369165791233,@martintetaz Presidenciable,0,0,Patricia Bullrich
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519533087830736896,@martintetaz Inteligente,0,0,Cristina Kirchner
1519470199141023744,Definan a Javier Milei con una sola palabra,1519501016202362881,@martintetaz Mejor que vos seguro,0,0,Javier Milei
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519479351829356546,@martintetaz Pasado,0,0,Mauricio Macri
1519470025769463809,Definan a Facundo Manes con una sola palabra,1519479411732480001,@martintetaz Chanta,0,0,Facundo Manes
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519486624219901953,@martintetaz Inútil!!,0,0,Mauricio Macri
1519469897260146688,Definan a Horacio Rodriguez Larreta con una sola palabra,1519533046923468800,@martintetaz Asesino,0,0,Horacio Rodriguez Larreta
1519469962171195394,Definan a Patricia Bullrich con una sola palabra,1519514948409327616,@martintetaz AGALLAS .,0,0,Patricia Bullrich
1519470199141023744,Definan a Javier Milei con una sola palabra,1519533003013296128,@martintetaz Genio!,0,0,Javier Milei
1519470199141023744,Definan a Javier Milei con una sola palabra,1519532189855010817,@martintetaz Burbuja,0,0,Javier Milei
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519532975624314882,@martintetaz Chorra,0,0,Cristina Kirchner
1519469897260146688,Definan a Horacio Rodriguez Larreta con una sola palabra,1519532683600171009,@martintetaz Invotable,0,0,Horacio Rodriguez Larreta
1519470025769463809,Definan a Facundo Manes con una sola palabra,1519532971988066306,@martintetaz Que te pasa @martintetaz te está yendo mal como diputado y te volviste consultor? O estás viendo para que lado arrancar?,0,0,Facundo Manes
1519470418603778052,Definan a Cristina Kirchner con una sola palabra,1519532957010038784,@martintetaz Ufff....hay muchas para definirla con una... CORRUPTA!!🐁🐍,0,0,Cristina Kirchner
1519470199141023744,Definan a Javier Milei con una sola palabra,1519532013258043392,@martintetaz Mentiroso. Vende humo.,0,0,Javier Milei
1519470199141023744,Definan a Javier Milei con una sola palabra,1519508788713242624,@martintetaz Loco.,0,0,Javier Milei
1519470199141023744,Definan a Javier Milei con una sola palabra,1519532896759033856,"@martintetaz Te paso varias que lo definen:
- Garca
- Ñoqui
- Gritón
- Machista(ver ataque a periodista salteña)
- Mentiroso(cuando le rebaten un discurso empieza a atacar y usar ""empirico"" cada 3 palabras).

Si queres más tengo con gusto pedazo de chanta de UVAs(vos sos más garca Tetaz).",0,0,Javier Milei
1519470199141023744,Definan a Javier Milei con una sola palabra,1519512446934867970,@martintetaz Presidente,0,1,Javier Milei
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519482537361362945,@martintetaz Fracaso total,0,0,Mauricio Macri
1519469962171195394,Definan a Patricia Bullrich con una sola palabra,1519532774109163520,@martintetaz Inteligente,0,0,Patricia Bullrich
1519469897260146688,Definan a Horacio Rodriguez Larreta con una sola palabra,1519526833804529664,@martintetaz Segundon,0,0,Horacio Rodriguez Larreta
1519470331609636864,Definan a Sergio Massa con una sola palabra,1519531991103848449,@martintetaz Panqueque,0,0,Sergio Massa
1519469962171195394,Definan a Patricia Bullrich con una sola palabra,1519532755276738560,@martintetaz Luchadora,0,0,Patricia Bullrich
1519470199141023744,Definan a Javier Milei con una sola palabra,1519511446756941824,"@martintetaz Milei no me gusta y no me importa.
Definí en una palabra a Morales que pertenece a JXC.",0,0,Javier Milei
1519470199141023744,Definan a Javier Milei con una sola palabra,1519511602940334080,@martintetaz Quimera,1,1,Javier Milei
1519470025769463809,Definan a Facundo Manes con una sola palabra,1519515791271542784,@martintetaz Advenedizo,0,0,Facundo Manes
1519469809959854081,Definan a Mauricio Macri con una sola palabra,1519515264055922689,@martintetaz Futuro,0,0,Mauricio Macri
